0_s1273_liver.nii.g_1,liver
1_s0001_aorta.nii.g_1,aorta
2_s0001_kidney_right.nii.g_1,kidney right
3_s0001_liver.nii.g_1,liver
4_s0004_aorta.nii.g_1,aorta
5_s0004_kidney_right.nii.g_1,kidney right
6_s0004_liver.nii.g_1,liver
7_s0006_aorta.nii.g_1,aorta
8_s0006_kidney_right.nii.g_1,kidney right
9_s0006_liver.nii.g_1,liver
10_s0009_aorta.nii.g_1,aorta
11_s0009_kidney_right.nii.g_1,kidney right
12_s0009_liver.nii.g_1,liver
13_s0010_aorta.nii.g_1,aorta
14_s0010_kidney_right.nii.g_1,kidney right
15_s0010_liver.nii.g_1,liver
16_s0011_aorta.nii.g_1,aorta
17_s0011_kidney_right.nii.g_1,kidney right
18_s0011_liver.nii.g_1,liver
19_s0012_aorta.nii.g_1,aorta
20_s0012_kidney_right.nii.g_1,kidney right
21_s0012_liver.nii.g_1,liver
22_s0013_aorta.nii.g_1,aorta
23_s0013_kidney_right.nii.g_1,kidney right
24_s0013_liver.nii.g_1,liver
25_s0014_aorta.nii.g_1,aorta
26_s0014_kidney_right.nii.g_1,kidney right
27_s0014_liver.nii.g_1,liver
28_s0015_aorta.nii.g_1,aorta
29_s0015_kidney_right.nii.g_1,kidney right
30_s0015_liver.nii.g_1,liver
31_s0016_aorta.nii.g_1,aorta
32_s0016_kidney_right.nii.g_1,kidney right
33_s0016_liver.nii.g_1,liver
34_s0019_aorta.nii.g_1,aorta
35_s0019_kidney_right.nii.g_1,kidney right
36_s0019_liver.nii.g_1,liver
37_s0021_aorta.nii.g_1,aorta
38_s0022_aorta.nii.g_1,aorta
39_s0022_kidney_right.nii.g_1,kidney right
40_s0022_liver.nii.g_1,liver
41_s0024_aorta.nii.g_1,aorta
42_s0024_kidney_right.nii.g_1,kidney right
43_s0024_liver.nii.g_1,liver
44_s0028_aorta.nii.g_1,aorta
45_s0028_kidney_right.nii.g_1,kidney right
46_s0028_liver.nii.g_1,liver
47_s0029_aorta.nii.g_1,aorta
48_s0029_kidney_right.nii.g_1,kidney right
49_s0029_liver.nii.g_1,liver
50_s0030_aorta.nii.g_1,aorta
51_s0030_kidney_right.nii.g_1,kidney right
52_s0030_liver.nii.g_1,liver
53_s0031_aorta.nii.g_1,aorta
54_s0031_kidney_right.nii.g_1,kidney right
55_s0031_liver.nii.g_1,liver
56_s0032_aorta.nii.g_1,aorta
57_s0032_liver.nii.g_1,liver
58_s0034_aorta.nii.g_1,aorta
59_s0034_kidney_right.nii.g_1,kidney right
60_s0034_liver.nii.g_1,liver
61_s0035_aorta.nii.g_1,aorta
62_s0037_aorta.nii.g_1,aorta
63_s0037_liver.nii.g_1,liver
64_s0038_aorta.nii.g_1,aorta
65_s0038_kidney_right.nii.g_1,kidney right
66_s0038_liver.nii.g_1,liver
67_s0039_aorta.nii.g_1,aorta
68_s0039_kidney_right.nii.g_1,kidney right
69_s0039_liver.nii.g_1,liver
70_s0040_aorta.nii.g_1,aorta
71_s0040_kidney_right.nii.g_1,kidney right
72_s0040_liver.nii.g_1,liver
73_s0042_aorta.nii.g_1,aorta
74_s0042_kidney_right.nii.g_1,kidney right
75_s0042_liver.nii.g_1,liver
76_s0044_aorta.nii.g_1,aorta
77_s0045_aorta.nii.g_1,aorta
78_s0045_kidney_right.nii.g_1,kidney right
79_s0045_liver.nii.g_1,liver
80_s0046_aorta.nii.g_1,aorta
81_s0046_kidney_right.nii.g_1,kidney right
